Arq1
entre 0 e 1 com step de 0.02
Paramêtros:	L=0.45	D=0.04	rho=998
A=100	T=2
Entrada de CM e CD COM GJR:
CM=1	CD=2
Entrada de CM e CD SEM GJR:
CM=0.6	CD=0.4

	t_shift	CD_shift	CM_shift	R²_shift	CD	CM	R²
1	0.0000	1.9991	0.2029	0.9988	1.9991	0.2029	0.9988
2	0.0010	2.0025	0.1998	0.9974	2.0025	0.1998	0.9988
3	0.0020	1.9931	0.2031	0.9978	1.9931	0.2031	0.9989
4	0.0030	2.0057	0.2031	0.9975	2.0057	0.2031	0.9988
5	0.0040	2.0043	0.2032	0.9974	2.0043	0.2032	0.9988
6	0.0050	1.9999	0.2013	0.9975	1.9999	0.2013	0.9988
7	0.0060	1.9934	0.2045	0.9978	1.9934	0.2045	0.9989
8	0.0070	1.9989	0.2054	0.9976	1.9989	0.2054	0.9990
9	0.0080	2.0019	0.2026	0.9976	2.0019	0.2026	0.9989
10	0.0090	1.9924	0.2023	0.9979	1.9924	0.2023	0.9991
11	0.0100	1.9887	0.2017	0.9975	1.9887	0.2017	0.9989
12	0.0110	2.0001	0.2030	0.9940	2.0001	0.2030	0.9990
13	0.0120	2.0052	0.2049	0.9936	2.0052	0.2049	0.9990
14	0.0130	1.9996	0.2023	0.9938	1.9996	0.2023	0.9989
15	0.0140	1.9989	0.2023	0.9939	1.9989	0.2023	0.9989
16	0.0150	1.9991	0.2023	0.9939	1.9991	0.2023	0.9990
17	0.0160	1.9957	0.2026	0.9935	1.9957	0.2026	0.9988
18	0.0170	2.0040	0.2029	0.9938	2.0040	0.2029	0.9989
19	0.0180	2.0024	0.2027	0.9938	2.0024	0.2027	0.9989
20	0.0190	1.9972	0.2031	0.9942	1.9972	0.2031	0.9989
21	0.0200	1.9938	0.2019	0.9935	1.9938	0.2019	0.9989
22	0.0210	1.9947	0.2026	0.9875	1.9947	0.2026	0.9989
23	0.0220	1.9907	0.2035	0.9881	1.9907	0.2035	0.9990
24	0.0230	2.0036	0.2049	0.9875	2.0036	0.2049	0.9987
25	0.0240	1.9914	0.2012	0.9874	1.9914	0.2012	0.9989
26	0.0250	1.9970	0.2017	0.9874	1.9970	0.2017	0.9989
27	0.0260	1.9923	0.2021	0.9874	1.9923	0.2021	0.9987
28	0.0270	1.9970	0.2032	0.9877	1.9970	0.2032	0.9987
29	0.0280	1.9993	0.2037	0.9877	1.9993	0.2037	0.9990
30	0.0290	2.0036	0.2020	0.9878	2.0036	0.2020	0.9990
31	0.0300	1.9946	0.2019	0.9874	1.9946	0.2019	0.9989
32	0.0310	1.9950	0.2032	0.9791	1.9950	0.2032	0.9990
33	0.0320	2.0043	0.2026	0.9789	2.0043	0.2026	0.9989
34	0.0330	1.9973	0.2034	0.9786	1.9973	0.2034	0.9990
35	0.0340	2.0032	0.1999	0.9784	2.0032	0.1999	0.9988
36	0.0350	1.9971	0.2037	0.9785	1.9971	0.2037	0.9989
37	0.0360	1.9989	0.2042	0.9780	1.9989	0.2042	0.9988
38	0.0370	2.0038	0.2009	0.9790	2.0038	0.2009	0.9990
39	0.0380	1.9969	0.2023	0.9787	1.9969	0.2023	0.9989
40	0.0390	1.9997	0.2041	0.9786	1.9997	0.2041	0.9989
41	0.0400	2.0047	0.2019	0.9782	2.0047	0.2019	0.9990
